IdCliente,Monto,FormatoTransaccion,TipoTransaccion,IdTienda,Fecha,IdProducto,Unidades
5163085,40.140000000000001,20170102-14-178116094,BOL,58,2017-01-02,@44524X         ,6
5163085,36.960000000000001,20170102-14-178116094,BOL,58,2017-01-02,@445258         ,4
5163085,10.08,20170102-14-178116094,BOL,58,2017-01-02,@445274         ,1
5163085,101.36,20170102-14-178116094,BOL,58,2017-01-02,@217689         ,4
5163085,15.17,20170102-14-178116094,BOL,58,2017-01-02,@445282         ,1
5163085,302.13,20170102-14-178116094,BOL,58,2017-01-02,@445312         ,27
5163085,50.68,20170102-14-178116094,BOL,58,2017-01-02,@217654         ,2
5163085,50.68,20170102-14-178116094,BOL,58,2017-01-02,@217662         ,2
10615368,39.32,20170102-6-285129476,BOL,50,2017-01-02,@1980297        ,1
6263641,22.800000000000001,20170102-30-116047689,BOL,74,2017-01-02,@2000628        ,1
6263641,59.240000000000002,20170102-30-116047689,BOL,74,2017-01-02,@1537830        ,1
6263641,4.1500000000000004,20170102-30-116047689,BOL,74,2017-01-02,@48668X         ,1
6263641,12.630000000000001,20170102-30-116047689,BOL,74,2017-01-02,@1821091        ,1
6263641,30.420000000000002,20170102-30-116047689,BOL,74,2017-01-02,@1373382        ,1
6263641,42.289999999999999,20170102-30-116047689,BOL,74,2017-01-02,@1836161        ,1
6263641,4.9999999999999991,20170102-30-116047689,BOL,74,2017-01-02,@45981X         ,1
6263641,16.859999999999999,20170102-30-116047689,BOL,74,2017-01-02,@17507          ,1
7215542,30.420000000000002,20170102-15-138129378,BOL,59,2017-01-02,@1406655        ,1
6761046,55,20170102-5-197164222,BOL,49,2017-01-02,@2433370        ,1
5014551,9.2400000000000002,20170102-5-201081516,BOL,49,2017-01-02,@1679139        ,1
5014551,17.549999999999997,20170102-5-201081516,BOL,49,2017-01-02,@144980X        ,5
5014551,11.779999999999999,20170102-5-201081516,BOL,49,2017-01-02,@2051389        ,1
5014551,33.810000000000002,20170102-5-201081516,BOL,49,2017-01-02,@1571850        ,1
5014551,33.810000000000002,20170102-5-201081516,BOL,49,2017-01-02,@2350408        ,1
5014551,12.630000000000001,20170102-5-201081516,BOL,49,2017-01-02,@2435713        ,1
5014551,11.779999999999999,20170102-5-201081516,BOL,49,2017-01-02,@1578510        ,1
5014551,14.32,20170102-5-201081516,BOL,49,2017-01-02,@1290576        ,1
5014551,67.709999999999994,20170102-5-201081516,BOL,49,2017-01-02,@1349635        ,1
5014551,10,20170102-5-201081516,BOL,49,2017-01-02,@78263          ,2
5014551,18.559999999999999,20170102-5-201081516,BOL,49,2017-01-02,@1045717        ,1
5014551,38.899999999999999,20170102-5-201081516,BOL,49,2017-01-02,@2369397        ,1
5014551,75.780000000000001,20170102-5-201081516,BOL,49,2017-01-02,@2431491        ,6
5014551,4.1500000000000004,20170102-5-201081516,BOL,49,2017-01-02,@1279920        ,1
5014551,42.289999999999999,20170102-5-201081516,BOL,49,2017-01-02,@2502089        ,1
5014551,23.559999999999999,20170102-5-201081516,BOL,49,2017-01-02,@2035561        ,2
5014551,5,20170102-5-201081516,BOL,49,2017-01-02,@484334         ,1
5014551,5.8499999999999996,20170102-5-201081516,BOL,49,2017-01-02,@475637         ,1
5014551,5,20170102-5-201081516,BOL,49,2017-01-02,@475610         ,1
5496407,7.54,20170102-25-315057263,BOL,69,2017-01-02,@2440458        ,1
5496407,250.16,20170102-25-315057263,BOL,69,2017-01-02,@1197940        ,8
5496407,7.54,20170102-25-315057263,BOL,69,2017-01-02,@1627716        ,1
5226491,25,20170102-26-239006834,BOL,70,2017-01-02,@2123789        ,1
5226491,13.470000000000001,20170102-26-239006834,BOL,70,2017-01-02,@2034530        ,1
27014059,43.219999999999999,20170102-26-226069546,BOL,70,2017-01-02,@1071203        ,2
5217132,16.859999999999999,20170102-10-301037002,BOL,54,2017-01-02,@171709X        ,1
5217132,10.93,20170102-10-301037002,BOL,54,2017-01-02,@1132377        ,1
5217132,33.810000000000002,20170102-10-301037002,BOL,54,2017-01-02,@486698         ,1
5217132,18.390000000000001,20170102-10-301037002,BOL,54,2017-01-02,@1729349        ,1
5496407,15.17,20170102-25-315057263,BOL,69,2017-01-02,@1474022        ,1
5226491,11.779999999999999,20170102-26-239006834,BOL,70,2017-01-02,@1836811        ,1
5226491,13.470000000000001,20170102-26-239006834,BOL,70,2017-01-02,@2034549        ,1
19193248,32.310000000000002,20170102-10-304120214,BOL,54,2017-01-02,@484229         ,1
19193248,18.449999999999999,20170102-10-304120214,BOL,54,2017-01-02,@1267396        ,1
14073899,1.6899999999999999,20170102-15-138129386,BOL,59,2017-01-02,@2379805        ,1
14073899,1912.5,20170102-15-138129386,BOL,59,2017-01-02,@397989         ,4250
20697921,262.60000000000002,20170102-15-137093645,BOL,59,2017-01-02,@2029375        ,10
9003297,22.539999999999999,20170102-5-198157400,BOL,49,2017-01-02,@72516          ,2
9003297,12.630000000000001,20170102-5-198157400,BOL,49,2017-01-02,@1717219        ,1
9003297,7.0300000000000002,20170102-5-198157400,BOL,49,2017-01-02,@1046888        ,1
9003297,16.859999999999999,20170102-5-198157400,BOL,49,2017-01-02,@454516         ,1
10016071,59.140000000000001,20170102-15-140132982,BOL,59,2017-01-02,@533998         ,2
5226846,2.46,20170102-10-301037044,BOL,54,2017-01-02,@2119730        ,1
5226846,8.3900000000000006,20170102-10-301037044,BOL,54,2017-01-02,@542423         ,1
5226846,9.3200000000000003,20170102-10-301037044,BOL,54,2017-01-02,@65021          ,1
5226846,1.3600000000000001,20170102-10-301037044,BOL,54,2017-01-02,@63142          ,1
5226846,6.1900000000000004,20170102-10-301037044,BOL,54,2017-01-02,@1568027        ,1
5226846,13.56,20170102-10-301037044,BOL,54,2017-01-02,@65005          ,1
5226846,6.6900000000000004,20170102-10-301037044,BOL,54,2017-01-02,@2249766        ,1
5226846,3.7400000000000002,20170102-10-301037044,BOL,54,2017-01-02,@63045          ,2
5090381,22.620000000000001,20170102-6-284129197,BOL,50,2017-01-02,@120081         ,3
5090381,60.210000000000001,20170102-6-284129197,BOL,50,2017-01-02,@120065         ,9
5134000,4.9199999999999999,20170102-26-229035499,BOL,70,2017-01-02,@1414488        ,1
5090381,36.359999999999999,20170102-6-284129197,BOL,50,2017-01-02,@1084941        ,1
5090381,6.6900000000000004,20170102-6-284129197,BOL,50,2017-01-02,@4802X          ,1
5090381,75.340000000000003,20170102-6-284129197,BOL,50,2017-01-02,@1979833        ,1
5085034,282.88,20170102-30-111036814,BOL,74,2017-01-02,@44431          ,2
5085034,16.859999999999999,20170102-30-111036814,BOL,74,2017-01-02,@2494264        ,1
6198533,8.3900000000000006,20170102-6-289076929,BOL,50,2017-01-02,@1573489        ,1
6231308,20.27,20170102-5-197164159,BOL,49,2017-01-02,@1102095        ,1
6231308,3.8100000000000001,20170102-5-197164159,BOL,49,2017-01-02,@222402         ,1
16589839,145.75999999999999,20170102-6-284129166,BOL,50,2017-01-02,@330485         ,4
16589839,23.140000000000001,20170102-6-284129166,BOL,50,2017-01-02,@89672          ,1
5031636,57.539999999999999,20170102-15-141119207,BOL,59,2017-01-02,@1722670        ,1
