IdProducto	DescProducto	Conjunto	Familia
@2624915	PR BOWL FLORAL 17.5CM	BOWL Y ENSALADERAS ACRIL/MELAM	MENAJE
@204871X	SBL CAJA MINIBOX 11 AMAR/ROJ	CAJAS INFANTILES	ORGANIZACIÓN
@164194	REMACHE ALM T/POP 3.2X15 100UN.	REMACHES	FERRETERIA
@2431890	PE COC EMP GAS HF LUX50 60CM4H	ANAFES/ENCIMERAS-CUBIERTAS/PARRILLA GAS ACERO INOX	LINEA BLANCA Y CLIMATIZACION
@2127180	BOTA SEG  EDELBROCK 106 T37	ZAPATOS CUERO CON PROTECCION	FERRETERIA
@1593064	SENAL VINILO EXTINTOR 20X30CM.	SENALES/SENALIZADORES	FERRETERIA
@450227	GANCHO 3M CLEAR PARA CABLES	GANCHOS AUTOADHESIVOS	FERRETERIA
@2075504	DISCO LIJA 5 GRANO 220 PACKX5	 LIJA PARA LIJADORA	HERRAMIENTAS Y MAQUINARIAS
@2667460	SANTA/RENO EXTENSIBLE 27X90	FIGURAS TELA	TEMPORADA
@2438291	IO COOLER PLAYMAT 16QT CELESTE	NEVERAS/HIELERAS RIGIDAS	AIRE LIBRE
@166560X	SOMBRERO C/CINTA REFLECTIVA 3M	ACCESORIOS	FERRETERIA
@2043254	LIS SL 07X36 PLAIN BLANCO BRIL	LISTELOS BANOS	PISOS
@528145	PP COMBO ESMERIL 4.1/2 CJA ME	KIT ESMERIL ANGULAR	HERRAMIENTAS Y MAQUINARIAS
@2492083	CERR EMB PRINC ONDA BRON DER	CERRADURAS DE EMBUTIR BRONCE	FERRETERIA
@1373935	MICROTEXTURA BASE BLANCO GL	ESTUCOS DECORATIVOS ESPECIALES	PINTURA Y ACCESORIOS
@2455153	CAJONERA ACRILIC 3CAJ 15X17X17	GABINETES Y ORGANIZADORES (MUEBLES) BANO	ORGANIZACIÓN
@2856557	MADE PINO RADIATA 2X4X10.5	MADERA SECA CEPILLADA	MADERA Y TABLEROS
@1040103	TECLE 2 TONELADAS.	TECLE / GARRUCHA	HERRAMIENTAS Y MAQUINARIAS
@2701804	SBL TENEDOR PLAS BL 20UN	CUBIERTOS PLASTICOS GRANEL	MENAJE
@2657767	IO CANASTA MEDIANA LILA	CAJAS Y CANASTOS PLASTICO RIGIDO	ORGANIZACIÓN
@2454106	ACOPLE PAR BOLA REMOLQUE CORTO	REMOLQUE	ACCESORIOS AUTOMOVILES
@2421690	PE MU/2PTA ALU/EIRE 70X90X35PUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@2002132	APISONADOR DE 3HP SOKMAQ ARR	ADH VIBROPISONES	ALQUILER DE HERRAMIENTAS
@1391208	DESARMADOR 2 EN 1 MJ	SETS DE DESTORNILLADORES/ATORNILLADORES	HERRAMIENTAS Y MAQUINARIAS
@2055317	LAMP COLGANTE TOY STORY	INFANTILES COLGANTES	ILUMINACION Y VENTILADORES
@2770067	MA ESTRUCT 90X74X30CM BLPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@1281046	O-TAB MDF 15MM 35X40CM	TABLEROS DIMENSIONADOS POR M2 OTROS	MADERA Y TABLEROS
@2532093	ADORNO ONION 8CM LUZ LED	ADORNOS COLGAR PLASTICO	TEMPORADA
@2060523	INDIVIDUAL 3D AVENGERS	INDIVIDUALES/BABEROS INFANTIL	MENAJE
@1078321	MANGUERA GLP 3/8 PREMIUM X MT.	FLEXIBLES Y MANGUERAS DE GAS	PLOMERIA / GASFITERIA
@2620707	KIT 3M ANTIP+MASC+TAPON	GAFAS/LENTES/ANTEOJOS	FERRETERIA
